Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002290
  Input 2 (Obs_2): 0.004355
  Input 3 (Obs_3): 0.002241
  Input 4 (Obs_4): 0.007765
  Input 5 (Obs_5): 0.002895
  Input 6 (Obs_6): 0.003962
  Input 7 (Latent_1): 0.003937
  Input 8 (Latent_2): 0.002958
  Input 9 (Latent_3): 0.002873
  Input 10 (Latent_4): 0.004182
  Input 11 (Latent_5): 0.003599
  Input 12 (Latent_6): 0.003510
  Input 13 (Latent_7): 0.005861
  Input 14 (Latent_8): 0.004947

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004026
  Input 2 (Obs_2): 0.003020
  Input 3 (Obs_3): 0.000815
  Input 4 (Obs_4): 0.001765
  Input 5 (Obs_5): 0.001779
  Input 6 (Obs_6): 0.003351
  Input 7 (Latent_1): 0.004650
  Input 8 (Latent_2): 0.003627
  Input 9 (Latent_3): 0.006063
  Input 10 (Latent_4): 0.003586
  Input 11 (Latent_5): 0.004775
  Input 12 (Latent_6): 0.004858
  Input 13 (Latent_7): 0.004011
  Input 14 (Latent_8): 0.002819

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001321
  Input 2 (Obs_2): 0.002459
  Input 3 (Obs_3): 0.001405
  Input 4 (Obs_4): 0.002590
  Input 5 (Obs_5): 0.002583
  Input 6 (Obs_6): 0.004088
  Input 7 (Latent_1): 0.002717
  Input 8 (Latent_2): 0.004264
  Input 9 (Latent_3): 0.003606
  Input 10 (Latent_4): 0.004146
  Input 11 (Latent_5): 0.003048
  Input 12 (Latent_6): 0.001916
  Input 13 (Latent_7): 0.002705
  Input 14 (Latent_8): 0.003717

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.000875
  Input 2 (Obs_2): 0.001532
  Input 3 (Obs_3): 0.000808
  Input 4 (Obs_4): 0.001360
  Input 5 (Obs_5): 0.002159
  Input 6 (Obs_6): 0.001047
  Input 7 (Latent_1): 0.002286
  Input 8 (Latent_2): 0.003314
  Input 9 (Latent_3): 0.003708
  Input 10 (Latent_4): 0.003526
  Input 11 (Latent_5): 0.004287
  Input 12 (Latent_6): 0.003213
  Input 13 (Latent_7): 0.001861
  Input 14 (Latent_8): 0.003501

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005773
  Input 2 (Obs_2): 0.006646
  Input 3 (Obs_3): 0.006658
  Input 4 (Obs_4): 0.003401
  Input 5 (Obs_5): 0.011221
  Input 6 (Obs_6): 0.004947
  Input 7 (Latent_1): 0.006223
  Input 8 (Latent_2): 0.006030
  Input 9 (Latent_3): 0.008491
  Input 10 (Latent_4): 0.009535
  Input 11 (Latent_5): 0.006962
  Input 12 (Latent_6): 0.013257
  Input 13 (Latent_7): 0.012510
  Input 14 (Latent_8): 0.005661

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003449
  Input 2 (Obs_2): 0.004705
  Input 3 (Obs_3): 0.005888
  Input 4 (Obs_4): 0.005051
  Input 5 (Obs_5): 0.006119
  Input 6 (Obs_6): 0.006391
  Input 7 (Latent_1): 0.005141
  Input 8 (Latent_2): 0.009951
  Input 9 (Latent_3): 0.006582
  Input 10 (Latent_4): 0.007906
  Input 11 (Latent_5): 0.004800
  Input 12 (Latent_6): 0.006171
  Input 13 (Latent_7): 0.010845
  Input 14 (Latent_8): 0.007081

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002619
  Input 2 (Obs_2): 0.006226
  Input 3 (Obs_3): 0.005494
  Input 4 (Obs_4): 0.001856
  Input 5 (Obs_5): 0.003667
  Input 6 (Obs_6): 0.003150
  Input 7 (Latent_1): 0.004188
  Input 8 (Latent_2): 0.003677
  Input 9 (Latent_3): 0.003847
  Input 10 (Latent_4): 0.004659
  Input 11 (Latent_5): 0.002980
  Input 12 (Latent_6): 0.006392
  Input 13 (Latent_7): 0.005021
  Input 14 (Latent_8): 0.008013

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003047
  Input 2 (Obs_2): 0.003849
  Input 3 (Obs_3): 0.002825
  Input 4 (Obs_4): 0.001985
  Input 5 (Obs_5): 0.002373
  Input 6 (Obs_6): 0.001520
  Input 7 (Latent_1): 0.003038
  Input 8 (Latent_2): 0.003374
  Input 9 (Latent_3): 0.004381
  Input 10 (Latent_4): 0.005094
  Input 11 (Latent_5): 0.002028
  Input 12 (Latent_6): 0.004477
  Input 13 (Latent_7): 0.003643
  Input 14 (Latent_8): 0.004409

