Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.999711
  Input 2 (Obs_2): 0.998823
  Input 3 (Obs_3): 0.999712
  Input 4 (Obs_4): 0.999091
  Input 5 (Obs_5): 0.999906
  Input 6 (Obs_6): 0.999892
  Input 7 (Latent_1): 0.998443
  Input 8 (Latent_2): 0.997378
  Input 9 (Latent_3): 0.997915
  Input 10 (Latent_4): 0.999108
  Input 11 (Latent_5): 0.999930
  Input 12 (Latent_6): 0.996642
  Input 13 (Latent_7): 0.997302
  Input 14 (Latent_8): 0.999486

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.998353
  Input 2 (Obs_2): 0.998212
  Input 3 (Obs_3): 0.999985
  Input 4 (Obs_4): 0.998162
  Input 5 (Obs_5): 0.996824
  Input 6 (Obs_6): 0.998986
  Input 7 (Latent_1): 0.999973
  Input 8 (Latent_2): 0.997114
  Input 9 (Latent_3): 0.998517
  Input 10 (Latent_4): 0.999970
  Input 11 (Latent_5): 0.996087
  Input 12 (Latent_6): 0.996859
  Input 13 (Latent_7): 0.997203
  Input 14 (Latent_8): 0.999900

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.998716
  Input 2 (Obs_2): 0.999898
  Input 3 (Obs_3): 0.999297
  Input 4 (Obs_4): 0.999970
  Input 5 (Obs_5): 0.997975
  Input 6 (Obs_6): 0.999938
  Input 7 (Latent_1): 0.998962
  Input 8 (Latent_2): 0.998998
  Input 9 (Latent_3): 0.998630
  Input 10 (Latent_4): 0.999783
  Input 11 (Latent_5): 0.995121
  Input 12 (Latent_6): 0.999536
  Input 13 (Latent_7): 0.995566
  Input 14 (Latent_8): 0.999514

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.995597
  Input 2 (Obs_2): 0.999849
  Input 3 (Obs_3): 0.999917
  Input 4 (Obs_4): 0.998097
  Input 5 (Obs_5): 0.999922
  Input 6 (Obs_6): 0.999732
  Input 7 (Latent_1): 0.999984
  Input 8 (Latent_2): 0.999404
  Input 9 (Latent_3): 0.999383
  Input 10 (Latent_4): 0.999169
  Input 11 (Latent_5): 0.996845
  Input 12 (Latent_6): 0.995107
  Input 13 (Latent_7): 0.997283
  Input 14 (Latent_8): 0.996294

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.999546
  Input 2 (Obs_2): 0.999898
  Input 3 (Obs_3): 0.997548
  Input 4 (Obs_4): 0.999971
  Input 5 (Obs_5): 0.999938
  Input 6 (Obs_6): 0.998301
  Input 7 (Latent_1): 0.999892
  Input 8 (Latent_2): 0.997952
  Input 9 (Latent_3): 0.999899
  Input 10 (Latent_4): 0.995159
  Input 11 (Latent_5): 0.999986
  Input 12 (Latent_6): 0.999937
  Input 13 (Latent_7): 0.999578
  Input 14 (Latent_8): 0.999972

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.999872
  Input 2 (Obs_2): 0.999963
  Input 3 (Obs_3): 0.999916
  Input 4 (Obs_4): 0.997283
  Input 5 (Obs_5): 0.997654
  Input 6 (Obs_6): 0.997022
  Input 7 (Latent_1): 0.999677
  Input 8 (Latent_2): 0.999946
  Input 9 (Latent_3): 0.999427
  Input 10 (Latent_4): 0.999970
  Input 11 (Latent_5): 0.999851
  Input 12 (Latent_6): 0.996656
  Input 13 (Latent_7): 0.999964
  Input 14 (Latent_8): 0.999811

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.997289
  Input 2 (Obs_2): 0.997671
  Input 3 (Obs_3): 0.998865
  Input 4 (Obs_4): 0.999815
  Input 5 (Obs_5): 0.998885
  Input 6 (Obs_6): 0.999957
  Input 7 (Latent_1): 0.998708
  Input 8 (Latent_2): 0.999112
  Input 9 (Latent_3): 0.995414
  Input 10 (Latent_4): 0.996906
  Input 11 (Latent_5): 0.999192
  Input 12 (Latent_6): 0.996841
  Input 13 (Latent_7): 0.996169
  Input 14 (Latent_8): 0.999963

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.995098
  Input 2 (Obs_2): 0.997726
  Input 3 (Obs_3): 0.996093
  Input 4 (Obs_4): 0.999148
  Input 5 (Obs_5): 0.999951
  Input 6 (Obs_6): 0.999974
  Input 7 (Latent_1): 0.997283
  Input 8 (Latent_2): 0.999869
  Input 9 (Latent_3): 0.999966
  Input 10 (Latent_4): 0.999698
  Input 11 (Latent_5): 0.998247
  Input 12 (Latent_6): 0.999829
  Input 13 (Latent_7): 0.999971
  Input 14 (Latent_8): 0.999530

