Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005165
  Input 2 (Obs_2): 0.004742
  Input 3 (Obs_3): 0.002697
  Input 4 (Obs_4): 0.002429
  Input 5 (Obs_5): 0.005148
  Input 6 (Obs_6): 0.004025
  Input 7 (Latent_1): 0.004572
  Input 8 (Latent_2): 0.004949
  Input 9 (Latent_3): 0.004832
  Input 10 (Latent_4): 0.005966
  Input 11 (Latent_5): 0.006112
  Input 12 (Latent_6): 0.005374
  Input 13 (Latent_7): 0.006000
  Input 14 (Latent_8): 0.005022

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003623
  Input 2 (Obs_2): 0.004079
  Input 3 (Obs_3): 0.001696
  Input 4 (Obs_4): 0.004208
  Input 5 (Obs_5): 0.002419
  Input 6 (Obs_6): 0.008544
  Input 7 (Latent_1): 0.006807
  Input 8 (Latent_2): 0.004830
  Input 9 (Latent_3): 0.005109
  Input 10 (Latent_4): 0.003847
  Input 11 (Latent_5): 0.005075
  Input 12 (Latent_6): 0.005294
  Input 13 (Latent_7): 0.006997
  Input 14 (Latent_8): 0.004908

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.001597
  Input 2 (Obs_2): 0.001940
  Input 3 (Obs_3): 0.001691
  Input 4 (Obs_4): 0.002156
  Input 5 (Obs_5): 0.003148
  Input 6 (Obs_6): 0.001710
  Input 7 (Latent_1): 0.004172
  Input 8 (Latent_2): 0.003336
  Input 9 (Latent_3): 0.004644
  Input 10 (Latent_4): 0.003714
  Input 11 (Latent_5): 0.004368
  Input 12 (Latent_6): 0.002878
  Input 13 (Latent_7): 0.004127
  Input 14 (Latent_8): 0.004747

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004585
  Input 2 (Obs_2): 0.007478
  Input 3 (Obs_3): 0.001704
  Input 4 (Obs_4): 0.002812
  Input 5 (Obs_5): 0.002751
  Input 6 (Obs_6): 0.006039
  Input 7 (Latent_1): 0.005125
  Input 8 (Latent_2): 0.003264
  Input 9 (Latent_3): 0.005945
  Input 10 (Latent_4): 0.004656
  Input 11 (Latent_5): 0.005623
  Input 12 (Latent_6): 0.006785
  Input 13 (Latent_7): 0.004839
  Input 14 (Latent_8): 0.007446

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004547
  Input 2 (Obs_2): 0.006435
  Input 3 (Obs_3): 0.007024
  Input 4 (Obs_4): 0.005028
  Input 5 (Obs_5): 0.006264
  Input 6 (Obs_6): 0.004602
  Input 7 (Latent_1): 0.006510
  Input 8 (Latent_2): 0.009404
  Input 9 (Latent_3): 0.009090
  Input 10 (Latent_4): 0.009790
  Input 11 (Latent_5): 0.006032
  Input 12 (Latent_6): 0.020010
  Input 13 (Latent_7): 0.011043
  Input 14 (Latent_8): 0.012449

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004610
  Input 2 (Obs_2): 0.012984
  Input 3 (Obs_3): 0.014985
  Input 4 (Obs_4): 0.003518
  Input 5 (Obs_5): 0.006480
  Input 6 (Obs_6): 0.005709
  Input 7 (Latent_1): 0.008481
  Input 8 (Latent_2): 0.010133
  Input 9 (Latent_3): 0.005395
  Input 10 (Latent_4): 0.005526
  Input 11 (Latent_5): 0.006076
  Input 12 (Latent_6): 0.007799
  Input 13 (Latent_7): 0.019362
  Input 14 (Latent_8): 0.008999

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005021
  Input 2 (Obs_2): 0.005742
  Input 3 (Obs_3): 0.003023
  Input 4 (Obs_4): 0.003620
  Input 5 (Obs_5): 0.004166
  Input 6 (Obs_6): 0.004751
  Input 7 (Latent_1): 0.005419
  Input 8 (Latent_2): 0.004045
  Input 9 (Latent_3): 0.006556
  Input 10 (Latent_4): 0.004594
  Input 11 (Latent_5): 0.003997
  Input 12 (Latent_6): 0.005108
  Input 13 (Latent_7): 0.005387
  Input 14 (Latent_8): 0.005322

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002098
  Input 2 (Obs_2): 0.002706
  Input 3 (Obs_3): 0.003125
  Input 4 (Obs_4): 0.002210
  Input 5 (Obs_5): 0.002105
  Input 6 (Obs_6): 0.002784
  Input 7 (Latent_1): 0.005534
  Input 8 (Latent_2): 0.004431
  Input 9 (Latent_3): 0.004312
  Input 10 (Latent_4): 0.003985
  Input 11 (Latent_5): 0.004456
  Input 12 (Latent_6): 0.010381
  Input 13 (Latent_7): 0.006484
  Input 14 (Latent_8): 0.005049

